Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2015,201505,May-15,4,0,1,Imports,800,Uganda,,826,United Kingdom,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,54,,270,,,0
HS,2015,201505,May-15,4,0,1,Imports,800,Uganda,,710,South Africa,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,1527,,4808,,,0
HS,2015,201505,May-15,4,0,1,Imports,800,Uganda,,842,United States of America,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,10,,52,,,0
HS,2015,201505,May-15,4,0,2,Exports,800,Uganda,,728,South Sudan,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,58991,,76075,,,0
HS,2015,201505,May-15,4,0,2,Exports,800,Uganda,,834,United Rep. of Tanzania,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,50000,,143945,,,0
HS,2015,201505,May-15,4,0,2,Exports,800,Uganda,,0,World,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,1490284,,4478642,,,0
HS,2015,201505,May-15,4,0,2,Exports,800,Uganda,,180,Dem.Rep. of the Congo,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,36636,,32431,,,0
HS,2015,201505,May-15,4,0,2,Exports,800,Uganda,,404,Kenya,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,1309550,,4121189,,,0
HS,2015,201505,May-15,4,0,2,Exports,800,Uganda,,646,Rwanda,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,35107,,105002,,,0
HS,2015,201506,Jun-15,4,0,1,Imports,800,Uganda,,0,World,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,72402,,127637,,,0
HS,2015,201506,Jun-15,4,0,1,Imports,800,Uganda,,156,China,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,60,,154,,,0
HS,2015,201506,Jun-15,4,0,1,Imports,800,Uganda,,404,Kenya,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,75,,263,,,0
HS,2015,201506,Jun-15,4,0,1,Imports,800,Uganda,,458,Malaysia,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,50376,,28714,,,0
HS,2015,201506,Jun-15,4,0,1,Imports,800,Uganda,,512,Oman,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,18032,,81439,,,0
HS,2015,201506,Jun-15,4,0,1,Imports,800,Uganda,,586,Pakistan,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,41,,265,,,0
HS,2015,201506,Jun-15,4,0,1,Imports,800,Uganda,,784,United Arab Emirates,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,2456,,11265,,,0
HS,2015,201506,Jun-15,4,0,1,Imports,800,Uganda,,826,United Kingdom,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,87,,723,,,0
HS,2015,201506,Jun-15,4,0,1,Imports,800,Uganda,,710,South Africa,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,1275,,4814,,,0
HS,2015,201506,Jun-15,4,0,2,Exports,800,Uganda,,728,South Sudan,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,2400,,2066,,,0
HS,2015,201506,Jun-15,4,0,2,Exports,800,Uganda,,646,Rwanda,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,1260,,1898,,,0
HS,2015,201506,Jun-15,4,0,2,Exports,800,Uganda,,404,Kenya,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,1301600,,4838396,,,0
HS,2015,201506,Jun-15,4,0,2,Exports,800,Uganda,,180,Dem.Rep. of the Congo,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,497,,1535,,,0
HS,2015,201506,Jun-15,4,0,2,Exports,800,Uganda,,0,World,,,,,,,,,402,"Milk and cream, concentrated or sweetened",,,,,,,1305757,,4843895,,,0
HS,2015,201507,Jul-15,4,0,1,Imports,800,Uganda,,0,World,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,1889,,4563,,,0
HS,2015,201507,Jul-15,4,0,2,Exports,800,Uganda,,0,World,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,,,1815709,,,0
HS,2015,201507,Jul-15,4,0,2,Exports,800,Uganda,,108,Burundi,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,34000,,29905,,,0
HS,2015,201507,Jul-15,4,0,2,Exports,800,Uganda,,180,Dem.Rep. of the Congo,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,6036,,7604,,,0
HS,2015,201507,Jul-15,4,0,2,Exports,800,Uganda,,404,Kenya,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,2354674,,1588589,,,0
HS,2015,201507,Jul-15,4,0,2,Exports,800,Uganda,,646,Rwanda,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,,,12670,,,0
HS,2015,201507,Jul-15,4,0,1,Imports,800,Uganda,,710,South Africa,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,791,,774,,,0
HS,2015,201507,Jul-15,4,0,2,Exports,800,Uganda,,728,South Sudan,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,109100,,118261,,,0
HS,2015,201507,Jul-15,4,0,1,Imports,800,Uganda,,784,United Arab Emirates,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,498,,2238,,,0
HS,2015,201507,Jul-15,4,0,1,Imports,800,Uganda,,826,United Kingdom,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,600,,1551,,,0
HS,2015,201507,Jul-15,4,0,2,Exports,800,Uganda,,834,United Rep. of Tanzania,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,49230,,58680,,,0
HS,2015,201508,Aug-15,4,0,1,Imports,800,Uganda,,0,World,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,4554,,7185,,,0
HS,2015,201508,Aug-15,4,0,2,Exports,800,Uganda,,0,World,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,,,1502975,,,0
HS,2015,201508,Aug-15,4,0,2,Exports,800,Uganda,,108,Burundi,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,1000,,299,,,0
HS,2015,201508,Aug-15,4,0,2,Exports,800,Uganda,,404,Kenya,,,,,,,,,401,"Milk and cream, neither concentrated nor sweetened",,,,,,,2194119,,1347178,,,0
